InputSentence,Method,Probabilities,ChosenSource
"['escol', 'rural', 'possu', 'comput']",Cosine,"{'classCadunico.csv': 0.03724194613619294, 'classCensoEscolar.csv': 0.2519516299301344, 'classDataSUS.csv': 0.0, 'classIbama.csv': 0.04210759605332595, 'classProuni.csv': 0.0, 'classFies.csv': 0.022727272727272728, 'classIBGE.csv': 0.0, 'classEducacaoSuperior.csv': 0.03190767223586378}",classCensoEscolar.csv
"['escol', 'rural', 'possu', 'comput']",LDA4,"{'classCadunico.csv': [0.03299999606609345, 0.016032120823860168, 1e-06, 1e-06], 'classCensoEscolar.csv': [0.06399999237060547, 0.015, 1e-06, 0.007371295094490051], 'classDataSUS.csv': [0.019277137041091918, 1e-06, 1e-06, 0.0049141967296600355], 'classIbama.csv': [0.0107095205783844, 0.026000000000000002, 1e-06, 1e-06], 'classProuni.csv': [0.006646948158740997, 1e-06, 1e-06, 0.005405616402626037], 'classFies.csv': [0.02999999642372132, 0.015546298980712891, 1e-06, 1e-06], 'classIBGE.csv': [0.022397847533226014, 0.006976728856563568, 1e-06, 1e-06], 'classEducacaoSuperior.csv': [0.015594765663146971, 0.009716436862945555, 1e-06, 1e-06]}",classCensoEscolar.csv
"['escol', 'rural', 'possu', 'comput']",LDA+Cosine,"{'classCadunico.csv': [0.03299999606609345, 0.016032120823860168, 1e-06, 1e-06, 0.03724194613619294], 'classCensoEscolar.csv': [0.06399999237060547, 0.015, 1e-06, 0.007371295094490051, 0.2519516299301344], 'classDataSUS.csv': [0.019277137041091918, 1e-06, 1e-06, 0.0049141967296600355, 0.0], 'classIbama.csv': [0.0107095205783844, 0.026000000000000002, 1e-06, 1e-06, 0.04210759605332595], 'classProuni.csv': [0.006646948158740997, 1e-06, 1e-06, 0.005405616402626037, 0.0], 'classFies.csv': [0.02999999642372132, 0.015546298980712891, 1e-06, 1e-06, 0.022727272727272728], 'classIBGE.csv': [0.022397847533226014, 0.006976728856563568, 1e-06, 1e-06, 0.0], 'classEducacaoSuperior.csv': [0.015594765663146971, 0.009716436862945555, 1e-06, 1e-06, 0.03190767223586378]}",classCensoEscolar.csv
"['famíl', 'cadun', 'cidad']",Cosine,"{'classCadunico.csv': 0.2365181238956419, 'classCensoEscolar.csv': 0.0, 'classDataSUS.csv': 0.0, 'classIbama.csv': 0.0, 'classProuni.csv': 0.0, 'classFies.csv': 0.0, 'classIBGE.csv': 0.033501260508640406, 'classEducacaoSuperior.csv': 0.0}",classCadunico.csv
"['famíl', 'cadun', 'cidad']",LDA4,"{'classCadunico.csv': [0.099, 1e-06, 0.005006338357925415], 'classCensoEscolar.csv': [0.031829700469970704, 1e-06, 0.0084676131606102], 'classDataSUS.csv': [0.01595569229125977, 1e-06, 0.01675404417514801], 'classIbama.csv': [1e-06, 1e-06, 0.010361032485961914], 'classProuni.csv': [0.005358276098966597, 1e-06, 0.013266832351684571], 'classFies.csv': [0.014920172095298766, 1e-06, 0.01927934229373932], 'classIBGE.csv': [1e-06, 1e-06, 0.019789865255355837], 'classEducacaoSuperior.csv': [1e-06, 1e-06, 0.0022862711548805236]}",classCadunico.csv
"['famíl', 'cadun', 'cidad']",LDA+Cosine,"{'classCadunico.csv': [0.099, 1e-06, 0.005006338357925415, 0.2365181238956419], 'classCensoEscolar.csv': [0.031829700469970704, 1e-06, 0.0084676131606102, 0.0], 'classDataSUS.csv': [0.01595569229125977, 1e-06, 0.01675404417514801, 0.0], 'classIbama.csv': [1e-06, 1e-06, 0.010361032485961914, 0.0], 'classProuni.csv': [0.005358276098966597, 1e-06, 0.013266832351684571, 0.0], 'classFies.csv': [0.014920172095298766, 1e-06, 0.01927934229373932, 0.0], 'classIBGE.csv': [1e-06, 1e-06, 0.019789865255355837, 0.033501260508640406], 'classEducacaoSuperior.csv': [1e-06, 1e-06, 0.0022862711548805236, 0.0]}",classCadunico.csv
"['profil', 'educ', 'cidad']",Cosine,"{'classCadunico.csv': 0.0, 'classCensoEscolar.csv': 0.1131389321711663, 'classDataSUS.csv': 0.025565499628245683, 'classIbama.csv': 0.0, 'classProuni.csv': 0.030513909884867668, 'classFies.csv': 0.0524863881081478, 'classIBGE.csv': 0.06700252101728081, 'classEducacaoSuperior.csv': 0.012281268769726867}",classCensoEscolar.csv
"['profil', 'educ', 'cidad']",LDA4,"{'classCadunico.csv': [0.014965867996215819, 0.01945076233148575, 0.005006338357925415], 'classCensoEscolar.csv': [0.01586022615432739, 0.025, 0.0084676131606102], 'classDataSUS.csv': [0.004868538677692414, 0.0062473857402801525, 0.01675404417514801], 'classIbama.csv': [0.014817580103874206, 1e-06, 0.010361032485961914], 'classProuni.csv': [0.013611675977706909, 0.007227769136428833, 0.013266832351684571], 'classFies.csv': [0.005448497295379638, 0.02, 0.01927934229373932], 'classIBGE.csv': [0.006984071731567383, 0.038, 0.019789865255355837], 'classEducacaoSuperior.csv': [0.010454469919204713, 0.012639164566993712, 0.0022862711548805236]}",classIBGE.csv
"['profil', 'educ', 'cidad']",LDA+Cosine,"{'classCadunico.csv': [0.014965867996215819, 0.01945076233148575, 0.005006338357925415, 0.0], 'classCensoEscolar.csv': [0.01586022615432739, 0.025, 0.0084676131606102, 0.1131389321711663], 'classDataSUS.csv': [0.004868538677692414, 0.0062473857402801525, 0.01675404417514801, 0.025565499628245683], 'classIbama.csv': [0.014817580103874206, 1e-06, 0.010361032485961914, 0.0], 'classProuni.csv': [0.013611675977706909, 0.007227769136428833, 0.013266832351684571, 0.030513909884867668], 'classFies.csv': [0.005448497295379638, 0.02, 0.01927934229373932, 0.0524863881081478], 'classIBGE.csv': [0.006984071731567383, 0.038, 0.019789865255355837, 0.06700252101728081], 'classEducacaoSuperior.csv': [0.010454469919204713, 0.012639164566993712, 0.0022862711548805236, 0.012281268769726867]}",classCensoEscolar.csv
"['méd', 'invest', 'educ', 'cidad']",Cosine,"{'classCadunico.csv': 0.01862097306809647, 'classCensoEscolar.csv': 0.0979811894172745, 'classDataSUS.csv': 0.02214037213850238, 'classIbama.csv': 0.0, 'classProuni.csv': 0.026425821129084495, 'classFies.csv': 0.045454545454545456, 'classIBGE.csv': 0.058025885318565944, 'classEducacaoSuperior.csv': 0.010635890745287925}",classCensoEscolar.csv
