TopicWords,Scores
saúde  assistência  rede  vitais  indicadores  datasus  estatísticas  morbidade  mortalidade  sanitária,"['0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010']"
saúde  prestadores  nacional  assistência  orçamentos  transferidos  fundo  declarados  financeiras  recursos,"['0.134', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036']"
evidências  estados  elaboração  objetivas  baseadas  distrito  municípios  podem  situação  ações,"['0.036', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036']"
saúde  morbidade  dimensões  análise  populacionais  compreensão  sanitária  situação  estado  doenças,"['0.069', '0.069', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036']"
saúde  assistencial  estabelecimentos  cadastros  rede  ambulatoriais  recursos  demográficas  cadastro  financeiros,"['0.069', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036', '0.036']"
saúde  indicadores  serviços  qualidade  avaliação  quantificação  construção  vida  fatores  métricas,"['0.089', '0.036', '0.032', '0.032', '0.032', '0.032', '0.032', '0.032', '0.032', '0.032']"
saúde  assistência  morbidade  estatísticas  rede  sanitária  recursos  epidemiológicas  datasus  serviços,"['0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010']"
saúde  epidemiológicas  morbidade  serviços  pública  assistência  mortalidade  sanitária  vitais  recursos,"['0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010', '0.010']"
programas  decisão  subsidiar  tomadas  datasus  análises  disponibiliza  federal  servir  sanitária,"['0.013', '0.013', '0.013', '0.012', '0.012', '0.012', '0.012', '0.011', '0.011', '0.011']"
saúde  mortalidade  vitais  estatísticas  tradição  vivos  sobrevivência  população  início  registro,"['0.153', '0.045', '0.023', '0.023', '0.023', '0.023', '0.023', '0.023', '0.023', '0.023']"
