TopicWords,Scores
ambiental  controle  florestais  ambiente  meio  federal  ambientais  espécies  recursos  ibama,"['0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008']"
ambiental  controle  ambiente  meio  federal  monitoramento  ações  licenciamento  qualidade  ambientais,"['0.068', '0.034', '0.032', '0.031', '0.029', '0.023', '0.020', '0.020', '0.020', '0.020']"
ambiental  meio  florestais  federal  controle  espécies  ambiente  principais  recursos  incêndios,"['0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008']"
florestais  ambiental  imposto  declaratório  exportação  fins  rural  comércio  correspondente  espécies,"['0.039', '0.026', '0.026', '0.026', '0.026', '0.026', '0.026', '0.026', '0.026', '0.026']"
recursos  ambiente  ambiental  critérios  principais  meio  federal  faunísticos  áreas  vinculada,"['0.040', '0.040', '0.040', '0.040', '0.040', '0.040', '0.021', '0.021', '0.021', '0.021']"
competência  ibama  legislação  nacional  além  união  conformidade  atua  supletivas  realizar,"['0.031', '0.026', '0.025', '0.025', '0.023', '0.023', '0.023', '0.022', '0.021', '0.021']"
ambiental  federal  ambiente  florestais  controle  meio  exportação  ambientais  extinção  ibama,"['0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008']"
ambiental  meio  ambiente  federal  florestais  controle  ambientais  incêndios  internacional  ações,"['0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008', '0.008']"
espécies  cites  flora  internacional  anexos  importação  convenção  extinção  fauna  constantes,"['0.064', '0.064', '0.064', '0.064', '0.034', '0.034', '0.034', '0.034', '0.034', '0.034']"
ambiental  federal  cadastro  implementação  impactos  técnico  normas  padrões  geração  aplicação,"['0.053', '0.029', '0.024', '0.024', '0.023', '0.023', '0.023', '0.023', '0.023', '0.022']"
